	gene	coef
3	SPP1	0.151100795
8	SMAD3	0.140775004
15	TLL1	0.083702453
19	WBSCR17	0.082903268
11	CD28	0.073926014
25	REG4	0.066785692
51	GMNN	-0.050350594
4	SMAD9	0.048796532
44	TCF12	0.046626184
45	CXCL1	-0.043792246
24	DTX1	0.034937359
5	E2F1	-0.034403635
6	CRYAB	0.033348509
49	FLT1	0.032583342
52	RGS2	0.03130302
48	KDM1A	-0.030489721
13	DTX2	-0.027588247
47	MAPK3	0.027534298
32	KDM5D	0.026521949
7	CDK6	0.025527097
14	TNF	-0.025363698
9	IGFBP1	0.023104807
53	PCSK1	0.019710972
31	CDCA5	-0.019687163
34	HEYL	0.019564606
28	FCRL5	-0.018001231
33	CD36	0.017641472
21	ABCC9	0.015485425
26	TAP1	-0.015034967
46	IGFBP3	0.012762981
43	FOS	0.012738461
29	RHOA	-0.011415474
17	EPHA4	0.011312741
41	CENPM	-0.010011692
39	CDKN1B	-0.009991383
18	DNMT1	-0.008228532
42	AXIN2	-0.007913738
30	CXCR4	0.00743295
50	SHISA5	-0.007079893
20	RPS6KA1	-0.006707878
12	GZMB	-0.005916851
2	CDK2	-0.005814961
1	TP73	-0.005543309
37	SP2	-0.004670042
38	POU5F1	-0.004452737
22	APCDD1	-0.004394215
27	MLH1	-0.003247945
40	PDCD1	-0.00277406
35	ANGPT1	-0.002454606
10	SERPINB13	0.001681747
16	RPL23	0.001592229
23	SCD5	-0.001366344
36	HBEGF	0.00057657
