"id","CMS1.score","CMS2.score","CMS3.score","CMS4.score","Symbol","cms"
"91","-0.002","0","0","0","ACVR1B","CMS1"
"5727","-0.0026","0","0","0","PTCH1","CMS1"
"6477","-0.0028","0","0","0","SIAH1","CMS1"
"1910","-0.0074","0","0","0","EDNRB","CMS1"
"2597","0.0074","0","0","0","GAPDH","CMS1"
"79019","0.0116","0","0","0","CENPM","CMS1"
"51512","0.0131","0","0","0","GTSE1","CMS1"
"5696","0.0148","0","0","0","PSMB8","CMS1"
"6241","0.0158","0","0","0","RRM2","CMS1"
"9352","0.017","0","0","0","TXNL1","CMS1"
"3725","-0.0171","0","0","0","JUN","CMS1"
"79801","0.0216","0","0","0","SHCBP1","CMS1"
"4277","0.0257","0","0","0","MICB","CMS1"
"3627","0.0302","0","0","0","CXCL10","CMS1"
"5787","-0.0353","0","0","0","PTPRB","CMS1"
"3458","0.0409","0","0","0","IFNG","CMS1"
"92610","0.0414","0","0","0","TIFA","CMS1"
"4061","0.0454","0","0","0","LY6E","CMS1"
"8322","-0.0512","0","0","0","FZD4","CMS1"
"29126","0.0514","0","0","0","CD274","CMS1"
"3902","0.0563","0","0","0","LAG3","CMS1"
"5698","0.0587","0","0","0","PSMB9","CMS1"
"10057","-0.0634","0","0","0","ABCC5","CMS1"
"6891","0.065","0","0","0","TAP2","CMS1"
"2810","0.0706","0","0","0","SFN","CMS1"
"10797","0.0889","0","0","0","MTHFD2","CMS1"
"51514","0.0983","0","0","0","DTL","CMS1"
"7161","0.1108","0","0","0","TP73","CMS1"
"8744","0.111","0","0","0","TNFSF9","CMS1"
"6890","0.115","0","0","0","TAP1","CMS1"
"200916","0.1165","0","0","0","RPL22L1","CMS1"
"8650","0","-0.0021","0","0","NUMB","CMS2"
"5133","0","-0.0026","0","0","PDCD1","CMS2"
"324","0","-0.0027","0","0","APC","CMS2"
"4602","0","0.0035","0","0","MYB","CMS2"
"916","0","-0.004","0","0","CD3E","CMS2"
"64428","0","0.0045","0","0","NARFL","CMS2"
"5817","0","0.0065","0","0","PVR","CMS2"
"8850","0","-0.0088","0","0","KAT2B","CMS2"
"30009","0","-0.0112","0","0","TBX21","CMS2"
"2069","0","0.0121","0","0","EREG","CMS2"
"4170","0","-0.0124","0","0","MCL1","CMS2"
"23381","0","0.0128","0","0","SMG5","CMS2"
"4862","0","0.0147","0","0","NPAS2","CMS2"
"10563","0","-0.0151","0","0","CXCL13","CMS2"
"7040","0","-0.0163","0","0","TGFB1","CMS2"
"2535","0","-0.0163","0","0","FZD2","CMS2"
"8312","0","0.0163","0","0","AXIN1","CMS2"
"201633","0","-0.0174","0","0","TIGIT","CMS2"
"368","0","0.0203","0","0","ABCC6","CMS2"
"22998","0","-0.0207","0","0","LIMCH1","CMS2"
"22807","0","-0.0221","0","0","IKZF2","CMS2"
"2263","0","-0.0244","0","0","FGFR2","CMS2"
"3559","0","-0.0261","0","0","IL2RA","CMS2"
"5933","0","0.0281","0","0","RBL1","CMS2"
"596","0","-0.0306","0","0","BCL2","CMS2"
"7074","0","-0.031","0","0","TIAM1","CMS2"
"54539","0","0.0312","0","0","NDUFB11","CMS2"
"64326","0","0.0322","0","0","RFWD2","CMS2"
"824","0","-0.0325","0","0","CAPN2","CMS2"
"25800","0","-0.0336","0","0","SLC39A6","CMS2"
"10197","0","0.0378","0","0","PSME3","CMS2"
"4072","0","0.0404","0","0","EPCAM","CMS2"
"1875","0","0.0485","0","0","E2F5","CMS2"
"57724","0","-0.0515","0","0","EPG5","CMS2"
"430","0","0.0603","0","0","ASCL2","CMS2"
"1874","0","0.0624","0","0","E2F4","CMS2"
"1869","0","0.0649","0","0","E2F1","CMS2"
"4609","0","0.0671","0","0","MYC","CMS2"
"2648","0","0.0725","0","0","KAT2A","CMS2"
"4605","0","0.0728","0","0","MYBL2","CMS2"
"83879","0","0.076","0","0","CDCA7","CMS2"
"51282","0","0.0761","0","0","SCAND1","CMS2"
"2043","0","-0.1012","0","0","EPHA4","CMS2"
"5122","0","0","0.0372","0","PCSK1","CMS3"
"140828","0","0","0.054","0","LINC00261","CMS3"
"5734","0","0","0.0573","0","PTGER4","CMS3"
"7494","0","0","0.1091","0","XBP1","CMS3"
"7033","0","0","0.1152","0","TFF3","CMS3"
"27290","0","0","0.2045","0","SPINK4","CMS3"
"3960","0","0","0.2467","0","LGALS4","CMS3"
"7042","0","0","0","0.0011","TGFB2","CMS4"
"51176","0","0","0","0.0046","LEF1","CMS4"
"285","0","0","0","0.013","ANGPT2","CMS4"
"1840","0","0","0","0.0149","DTX1","CMS4"
"2917","0","0","0","0.0193","GRM7","CMS4"
"64399","0","0","0","0.0246","HHIP","CMS4"
"332","0","0","0","-0.0268","BIRC5","CMS4"
"388403","0","0","0","0.0281","YPEL2","CMS4"
"23779","0","0","0","-0.0288","ARHGAP8","CMS4"
"867","0","0","0","0.0288","CBL","CMS4"
"9133","0","0","0","-0.0309","CCNB2","CMS4"
"891","0","0","0","-0.0363","CCNB1","CMS4"
"5292","0","0","0","0.0509","PIM1","CMS4"
"948","0","0","0","0.0526","CD36","CMS4"
"2309","0","0","0","0.0534","FOXO3","CMS4"
"5290","0","0","0","0.0538","PIK3CA","CMS4"
"29089","0","0","0","-0.0542","UBE2T","CMS4"
"3003","0","0","0","0.0548","GZMK","CMS4"
"3516","0","0","0","0.06","RBPJ","CMS4"
"911","0","0","0","0.0605","CD1C","CMS4"
"50943","0","0","0","0.0734","FOXP3","CMS4"
"9378","0","0","0","0.0769","NRXN1","CMS4"
"84870","0","0","0","0.0794","RSPO3","CMS4"
"3956","0","0","0","0.0855","LGALS1","CMS4"
"3486","0","0","0","0.0944","IGFBP3","CMS4"
"940","0","0","0","0.1024","CD28","CMS4"
"94241","0","0","0","0.1093","TP53INP1","CMS4"
"23462","0","0","0","0.1112","HEY1","CMS4"
"6664","0","0","0","0.1353","SOX11","CMS4"
"51684","0","0","0","0.1391","SUFU","CMS4"
"4318","0","0","0","0.1451","MMP9","CMS4"
"9253","0","0","0","0.1616","NUMBL","CMS4"
"54538","0","0","0","0.1926","ROBO4","CMS4"
"6464","0","0","0","0.1945","SHC1","CMS4"
"10718","0","0","0","0.1958","NRG3","CMS4"
"3082","0","0","0","0.2011","HGF","CMS4"
"7431","0","0","0","0.2098","VIM","CMS4"
"2321","0","0","0","0.2164","FLT1","CMS4"
"64409","0","0","0","0.2185","WBSCR17","CMS4"
"2791","0","0","0","0.2193","GNG11","CMS4"
"6347","0","0","0","0.2198","CCL2","CMS4"
"8643","0","0","0","0.2245","PTCH2","CMS4"
"27123","0","0","0","0.2254","DKK2","CMS4"
"90","0","0","0","0.2266","ACVR1","CMS4"
